OS,CVE,PO
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2019-1113,Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2020-0605,Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2020-0606,Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2020-0646,Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-1675,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26424,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26425,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26431,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26432,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26435,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-26441,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31951,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31952,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31954,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31956,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31962,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31969,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31973,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-31979,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33739,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33743,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33749,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33750,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33752,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33756,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
