Задача,IP-адрес,CVE,FQDN,Операционная система,Сервис/ПО,ID,Базовая оценка CVSS v2,Базовая оценка CVSS v3,Уровень опасности,Уязвимость,Как исправить,Ссылки,Неустановленное обновление безопасности,Ссылки на обновления,Дата выпуска обновления,Коэффициент,Уровень изоляции,Критичность,Уровень критичности
Эталонный образ RUS,10.85.37.116,CVE-2019-1113,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\,416649,"6,8","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1113,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1113,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2020-0605,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\,417048,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0605,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0605,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2020-0606,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\,417049,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0606,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0606,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2020-0646,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\,417086,"10,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0646,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0646,,,,1,"0,9","8,82",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-1675,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419023,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-1675,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-1675,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-26424,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419204,"0,0","9,9",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26424,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26424,,,,1,"0,9","8,91",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-26425,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419205,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26425,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26425,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-26431,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419229,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26431,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26431,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-26432,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419207,"0,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26432,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26432,,,,1,"0,9","8,82",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-26435,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419302,"0,0","8,1",Высокий уровень,Повреждение памяти,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26435,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26435,,,,1,"0,9","7,29",Kритический
