Код,Задача,IP-адрес,FQDN,Операционная система,CVE,Сервис/ПО,ID,Базовая оценка CVSS v2,Базовая оценка CVSS v3,Уровень опасности,Уязвимость,Как исправить,Ссылки,Неустановленное обновление безопасности,Ссылки на обновления,Дата выпуска обновления,Коэффициент,Уровень изоляции,Критичность,Уровень критичночти
51,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2456",Microsoft .NET Framework - 3.5,413861,"9,3","0,0",Высокий уровень,Уязвимость при обработке шрифта TrueType,Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-080,MS (15-080): http://technet.microsoft.com/security/bulletin/ms15-080 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-2455 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-2456,"KB4032241, KB5002451",,08.08.2023,1,"0,9",0,Низкий
50,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,413858,"9,3","0,0",Высокий уровень,Уязвимость при обработке шрифта OpenType,Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-080,MS (15-080): http://technet.microsoft.com/security/bulletin/ms15-080 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-2462,,,,1,"0,9",0,Низкий
79,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,413887,"9,3","0,0",Средний уровень,"Повышение привилегий, связанное с .NET",Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-101,MS (15-101): http://technet.microsoft.com/security/bulletin/ms15-101 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-2504,,,,1,"0,9",0,Низкий
83,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,413954,"4,3","0,0",Средний уровень,Разглашение информации через .NET,Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-118,MS (15-118): http://technet.microsoft.com/security/bulletin/ms15-118 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-6096,,,,1,"0,9",0,Низкий
44,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,413993,"9,3","0,0",Высокий уровень,"Ошибка при работе с памятью, связанная с графикой",Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-128,MS (15-128): http://technet.microsoft.com/security/bulletin/ms15-128 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-6108,"KB4032241, KB5002451",,08.08.2023,1,"0,9",0,Низкий
81,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,413956,"4,3","0,0",Средний уровень,Обход защиты ASLR .NET,Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms15-118,MS (15-118): http://technet.microsoft.com/security/bulletin/ms15-118 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-6115,,,,1,"0,9",0,Низкий
60,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,414069,"5,0","7,5",Высокий уровень,"Отказ в обслуживании, связанный с .NET Framework",Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms16-019,MS (16-019): http://technet.microsoft.com/security/bulletin/ms16-019 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0033,,,,1,"0,9","6,75",Высокий
63,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,414070,"5,0","7,5",Высокий уровень,"Разглашение информации, связанное с Windows Forms",Используйте рекомендации производителя: http://technet.microsoft.com/security/bulletin/ms16-019,MS (16-019): http://technet.microsoft.com/security/bulletin/ms16-019 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0047,,,,1,"0,9","6,75",Высокий
37,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,414099,"10,0","9,8",Критический уровень,Обход защитного механизма,Используйте рекомендации производителя: http://technet.microsoft.com/library/security/ms16-035,MS (16-035): http://technet.microsoft.com/library/security/ms16-035 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0132,,,,1,"0,9","8,82",Kритический
45,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0145,Microsoft .NET Framework - 3.5,414117,"9,3","8,8",Высокий уровень,"Ошибка при работе с памятью, связанная с графикой",Используйте рекомендации производителя: http://technet.microsoft.com/library/security/ms16-039,MS (16-039): http://technet.microsoft.com/library/security/ms16-039 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0145,"KB4032241, KB5002451",,08.08.2023,1,"0,9","7,92",Kритический
